game 0, score 0 : 119, score 1 : 43
game 69, score 0 : 128, score 1 : 34
game 70, score 0 : 79, score 1 : 83
game 71, score 0 : 34, score 1 : 128
game 72, score 0 : 40, score 1 : 122
game 73, score 0 : 101, score 1 : 61
game 74, score 0 : 94, score 1 : 68
game 75, score 0 : 162, score 1 : 0
game 76, score 0 : 103, score 1 : 59
game 77, score 0 : 29, score 1 : 133
game 78, score 0 : 126, score 1 : 36
game 79, score 0 : 25, score 1 : 137
game 80, score 0 : 97, score 1 : 65
game 81, score 0 : 38, score 1 : 124
game 82, score 0 : 108, score 1 : 54
game 83, score 0 : 58, score 1 : 104
game 84, score 0 : 76, score 1 : 86
game 85, score 0 : 55, score 1 : 107
game 86, score 0 : 29, score 1 : 133
game 87, score 0 : 76, score 1 : 86
game 88, score 0 : 43, score 1 : 119
game 89, score 0 : 77, score 1 : 85
game 90, score 0 : 122, score 1 : 40
game 91, score 0 : 36, score 1 : 126
game 92, score 0 : 97, score 1 : 65
game 93, score 0 : 69, score 1 : 93
game 94, score 0 : 63, score 1 : 99
game 95, score 0 : 46, score 1 : 116
game 96, score 0 : 45, score 1 : 117
game 97, score 0 : 72, score 1 : 90
game 98, score 0 : 17, score 1 : 145
game 99, score 0 : 143, score 1 : 19
game 100, score 0 : 105, score 1 : 57
game 101, score 0 : 87, score 1 : 75
game 102, score 0 : 35, score 1 : 127
game 103, score 0 : 89, score 1 : 73
game 104, score 0 : 64, score 1 : 98
game 105, score 0 : 43, score 1 : 119
game 106, score 0 : 61, score 1 : 101
game 107, score 0 : 132, score 1 : 30
game 108, score 0 : 111, score 1 : 51
game 109, score 0 : 107, score 1 : 55
game 110, score 0 : 91, score 1 : 71
game 111, score 0 : 62, score 1 : 100
game 112, score 0 : 42, score 1 : 120
game 113, score 0 : 81, score 1 : 81
game 114, score 0 : 83, score 1 : 79
game 115, score 0 : 77, score 1 : 85
game 116, score 0 : 81, score 1 : 81
game 117, score 0 : 63, score 1 : 99
game 118, score 0 : 121, score 1 : 41
game 119, score 0 : 28, score 1 : 134
game 120, score 0 : 65, score 1 : 97
game 121, score 0 : 72, score 1 : 90
game 122, score 0 : 91, score 1 : 71
game 123, score 0 : 33, score 1 : 129
game 124, score 0 : 73, score 1 : 89
game 125, score 0 : 74, score 1 : 88
game 126, score 0 : 148, score 1 : 14
game 127, score 0 : 39, score 1 : 123
game 128, score 0 : 97, score 1 : 65
game 129, score 0 : 111, score 1 : 51
game 130, score 0 : 113, score 1 : 49
game 131, score 0 : 45, score 1 : 117
game 132, score 0 : 15, score 1 : 147
game 133, score 0 : 28, score 1 : 134
game 134, score 0 : 117, score 1 : 45
game 135, score 0 : 80, score 1 : 82
game 136, score 0 : 160, score 1 : 2
game 137, score 0 : 83, score 1 : 79
game 138, score 0 : 116, score 1 : 46
game 139, score 0 : 76, score 1 : 86
game 140, score 0 : 120, score 1 : 42
game 141, score 0 : 42, score 1 : 120
game 142, score 0 : 64, score 1 : 98
game 143, score 0 : 129, score 1 : 33
game 144, score 0 : 83, score 1 : 79
game 145, score 0 : 82, score 1 : 80
game 146, score 0 : 83, score 1 : 79
game 147, score 0 : 143, score 1 : 19
game 148, score 0 : 0, score 1 : 162
game 149, score 0 : 140, score 1 : 22
game 150, score 0 : 40, score 1 : 122
game 151, score 0 : 148, score 1 : 14
game 152, score 0 : 97, score 1 : 65
game 153, score 0 : 56, score 1 : 106
game 154, score 0 : 69, score 1 : 93
game 155, score 0 : 75, score 1 : 87
game 156, score 0 : 29, score 1 : 133
game 157, score 0 : 51, score 1 : 111
game 158, score 0 : 124, score 1 : 38
game 159, score 0 : 143, score 1 : 19
game 160, score 0 : 0, score 1 : 162
game 161, score 0 : 126, score 1 : 36
game 162, score 0 : 59, score 1 : 103
game 163, score 0 : 45, score 1 : 117
game 164, score 0 : 78, score 1 : 84
game 165, score 0 : 0, score 1 : 162
game 166, score 0 : 97, score 1 : 65
game 167, score 0 : 6, score 1 : 156
game 168, score 0 : 57, score 1 : 105
game 169, score 0 : 106, score 1 : 56
game 170, score 0 : 86, score 1 : 76
game 171, score 0 : 112, score 1 : 50
game 172, score 0 : 106, score 1 : 56
game 173, score 0 : 50, score 1 : 112
game 174, score 0 : 36, score 1 : 126
game 175, score 0 : 34, score 1 : 128
game 176, score 0 : 79, score 1 : 83
game 177, score 0 : 123, score 1 : 39
game 178, score 0 : 90, score 1 : 72
game 179, score 0 : 100, score 1 : 62
game 180, score 0 : 139, score 1 : 23
game 181, score 0 : 53, score 1 : 109
game 182, score 0 : 90, score 1 : 72
game 183, score 0 : 75, score 1 : 87
game 184, score 0 : 73, score 1 : 89
game 185, score 0 : 146, score 1 : 16
game 186, score 0 : 37, score 1 : 125
game 187, score 0 : 92, score 1 : 70
game 188, score 0 : 70, score 1 : 92
game 189, score 0 : 79, score 1 : 83
game 190, score 0 : 92, score 1 : 70
game 191, score 0 : 38, score 1 : 124
game 192, score 0 : 119, score 1 : 43
game 193, score 0 : 115, score 1 : 47
game 194, score 0 : 109, score 1 : 53
game 195, score 0 : 0, score 1 : 162
game 196, score 0 : 17, score 1 : 145
game 197, score 0 : 107, score 1 : 55
game 198, score 0 : 141, score 1 : 21
game 199, score 0 : 99, score 1 : 63
game 200, score 0 : 87, score 1 : 75
game 201, score 0 : 104, score 1 : 58
game 202, score 0 : 111, score 1 : 51
game 203, score 0 : 102, score 1 : 60
game 204, score 0 : 102, score 1 : 60
game 205, score 0 : 116, score 1 : 46
game 206, score 0 : 105, score 1 : 57
game 207, score 0 : 50, score 1 : 112
game 208, score 0 : 132, score 1 : 30
game 209, score 0 : 107, score 1 : 55
game 210, score 0 : 48, score 1 : 114
game 211, score 0 : 56, score 1 : 106
game 212, score 0 : 60, score 1 : 102
game 213, score 0 : 44, score 1 : 118
game 214, score 0 : 49, score 1 : 113
game 215, score 0 : 12, score 1 : 150
game 216, score 0 : 129, score 1 : 33
game 217, score 0 : 77, score 1 : 85
game 218, score 0 : 57, score 1 : 105
game 219, score 0 : 79, score 1 : 83
game 220, score 0 : 122, score 1 : 40
game 221, score 0 : 75, score 1 : 87
game 222, score 0 : 71, score 1 : 91
game 223, score 0 : 139, score 1 : 23
game 224, score 0 : 62, score 1 : 100
game 225, score 0 : 122, score 1 : 40
game 226, score 0 : 115, score 1 : 47
game 227, score 0 : 37, score 1 : 125
game 228, score 0 : 41, score 1 : 121
game 229, score 0 : 16, score 1 : 146
game 230, score 0 : 117, score 1 : 45
game 231, score 0 : 108, score 1 : 54
game 232, score 0 : 127, score 1 : 35
game 233, score 0 : 152, score 1 : 10
game 234, score 0 : 103, score 1 : 59
game 235, score 0 : 66, score 1 : 96
game 236, score 0 : 67, score 1 : 95
game 237, score 0 : 12, score 1 : 150
game 238, score 0 : 108, score 1 : 54
game 239, score 0 : 63, score 1 : 99
game 240, score 0 : 83, score 1 : 79
game 241, score 0 : 133, score 1 : 29
game 242, score 0 : 145, score 1 : 17
game 243, score 0 : 32, score 1 : 130
game 244, score 0 : 98, score 1 : 64
game 245, score 0 : 122, score 1 : 40
game 246, score 0 : 44, score 1 : 118
game 247, score 0 : 72, score 1 : 90
game 248, score 0 : 102, score 1 : 60
game 249, score 0 : 71, score 1 : 91
game 250, score 0 : 54, score 1 : 108
game 251, score 0 : 106, score 1 : 56
game 252, score 0 : 106, score 1 : 56
game 253, score 0 : 147, score 1 : 15
game 254, score 0 : 108, score 1 : 54
game 255, score 0 : 78, score 1 : 84
game 256, score 0 : 98, score 1 : 64
game 257, score 0 : 30, score 1 : 132
game 258, score 0 : 30, score 1 : 132
game 259, score 0 : 128, score 1 : 34
game 260, score 0 : 76, score 1 : 86
game 261, score 0 : 98, score 1 : 64
game 262, score 0 : 125, score 1 : 37
game 263, score 0 : 105, score 1 : 57
game 264, score 0 : 68, score 1 : 94
game 265, score 0 : 69, score 1 : 93
game 266, score 0 : 6, score 1 : 156
game 267, score 0 : 105, score 1 : 57
game 268, score 0 : 30, score 1 : 132
game 269, score 0 : 146, score 1 : 16
game 270, score 0 : 114, score 1 : 48
game 271, score 0 : 90, score 1 : 72
game 272, score 0 : 107, score 1 : 55
game 273, score 0 : 31, score 1 : 131
game 274, score 0 : 15, score 1 : 147
game 275, score 0 : 48, score 1 : 114
game 276, score 0 : 134, score 1 : 28
game 277, score 0 : 122, score 1 : 40
game 278, score 0 : 132, score 1 : 30
game 279, score 0 : 56, score 1 : 106
game 280, score 0 : 46, score 1 : 116
game 281, score 0 : 105, score 1 : 57
game 282, score 0 : 32, score 1 : 130
game 283, score 0 : 118, score 1 : 44
game 284, score 0 : 88, score 1 : 74
game 285, score 0 : 65, score 1 : 97
game 286, score 0 : 55, score 1 : 107
game 287, score 0 : 74, score 1 : 88
game 288, score 0 : 52, score 1 : 110
game 289, score 0 : 58, score 1 : 104
game 290, score 0 : 108, score 1 : 54
game 291, score 0 : 110, score 1 : 52
game 292, score 0 : 18, score 1 : 144
game 293, score 0 : 98, score 1 : 64
game 294, score 0 : 112, score 1 : 50
game 295, score 0 : 118, score 1 : 44
game 296, score 0 : 133, score 1 : 29
game 297, score 0 : 128, score 1 : 34
game 298, score 0 : 100, score 1 : 62
game 299, score 0 : 144, score 1 : 18
game 300, score 0 : 100, score 1 : 62
game 301, score 0 : 33, score 1 : 129
game 302, score 0 : 141, score 1 : 21
game 303, score 0 : 29, score 1 : 133
game 304, score 0 : 100, score 1 : 62
game 305, score 0 : 69, score 1 : 93
game 306, score 0 : 123, score 1 : 39
game 307, score 0 : 51, score 1 : 111
game 308, score 0 : 42, score 1 : 120
game 309, score 0 : 61, score 1 : 101
game 310, score 0 : 83, score 1 : 79
game 311, score 0 : 46, score 1 : 116
game 312, score 0 : 104, score 1 : 58
game 313, score 0 : 100, score 1 : 62
game 314, score 0 : 57, score 1 : 105
game 315, score 0 : 119, score 1 : 43
game 316, score 0 : 132, score 1 : 30
game 317, score 0 : 120, score 1 : 42
game 318, score 0 : 106, score 1 : 56
game 319, score 0 : 20, score 1 : 142
game 320, score 0 : 134, score 1 : 28
game 321, score 0 : 71, score 1 : 91
game 322, score 0 : 98, score 1 : 64
game 323, score 0 : 0, score 1 : 162
game 324, score 0 : 93, score 1 : 69
game 325, score 0 : 108, score 1 : 54
game 326, score 0 : 152, score 1 : 10
game 327, score 0 : 109, score 1 : 53
game 328, score 0 : 66, score 1 : 96
game 329, score 0 : 162, score 1 : 0
game 330, score 0 : 102, score 1 : 60
game 331, score 0 : 134, score 1 : 28
game 332, score 0 : 143, score 1 : 19
game 333, score 0 : 122, score 1 : 40
game 334, score 0 : 79, score 1 : 83
game 335, score 0 : 91, score 1 : 71
game 336, score 0 : 74, score 1 : 88
game 337, score 0 : 52, score 1 : 110
game 338, score 0 : 17, score 1 : 145
game 339, score 0 : 93, score 1 : 69
game 340, score 0 : 78, score 1 : 84
game 341, score 0 : 83, score 1 : 79
game 342, score 0 : 59, score 1 : 103
game 343, score 0 : 70, score 1 : 92
game 344, score 0 : 115, score 1 : 47
game 345, score 0 : 92, score 1 : 70
game 346, score 0 : 92, score 1 : 70
game 347, score 0 : 44, score 1 : 118
game 348, score 0 : 120, score 1 : 42
game 349, score 0 : 24, score 1 : 138
game 350, score 0 : 46, score 1 : 116
game 351, score 0 : 145, score 1 : 17
game 352, score 0 : 123, score 1 : 39
game 353, score 0 : 120, score 1 : 42
game 354, score 0 : 115, score 1 : 47
game 355, score 0 : 93, score 1 : 69
game 356, score 0 : 120, score 1 : 42
game 357, score 0 : 132, score 1 : 30
game 358, score 0 : 45, score 1 : 117
game 359, score 0 : 135, score 1 : 27
game 360, score 0 : 38, score 1 : 124
game 361, score 0 : 85, score 1 : 77
game 362, score 0 : 99, score 1 : 63
game 363, score 0 : 105, score 1 : 57
game 364, score 0 : 83, score 1 : 79
game 365, score 0 : 153, score 1 : 9
game 366, score 0 : 123, score 1 : 39
game 367, score 0 : 108, score 1 : 54
game 368, score 0 : 107, score 1 : 55
game 369, score 0 : 70, score 1 : 92
game 370, score 0 : 96, score 1 : 66
game 371, score 0 : 51, score 1 : 111
game 372, score 0 : 93, score 1 : 69
game 373, score 0 : 67, score 1 : 95
game 374, score 0 : 104, score 1 : 58
game 375, score 0 : 29, score 1 : 133
game 376, score 0 : 71, score 1 : 91
game 377, score 0 : 149, score 1 : 13
game 378, score 0 : 40, score 1 : 122
game 379, score 0 : 30, score 1 : 132
game 380, score 0 : 4, score 1 : 158
game 381, score 0 : 79, score 1 : 83
game 382, score 0 : 124, score 1 : 38
game 383, score 0 : 95, score 1 : 67
game 384, score 0 : 122, score 1 : 40
game 385, score 0 : 46, score 1 : 116
game 386, score 0 : 67, score 1 : 95
game 387, score 0 : 141, score 1 : 21
game 388, score 0 : 83, score 1 : 79
game 389, score 0 : 81, score 1 : 81
game 390, score 0 : 78, score 1 : 84
game 391, score 0 : 124, score 1 : 38
game 392, score 0 : 55, score 1 : 107
game 393, score 0 : 10, score 1 : 152
game 394, score 0 : 47, score 1 : 115
game 395, score 0 : 95, score 1 : 67
game 396, score 0 : 33, score 1 : 129
game 397, score 0 : 51, score 1 : 111
game 398, score 0 : 97, score 1 : 65
game 399, score 0 : 69, score 1 : 93
game 400, score 0 : 134, score 1 : 28
game 401, score 0 : 55, score 1 : 107
game 402, score 0 : 132, score 1 : 30
game 403, score 0 : 87, score 1 : 75
game 404, score 0 : 56, score 1 : 106
game 405, score 0 : 85, score 1 : 77
game 406, score 0 : 145, score 1 : 17
game 407, score 0 : 142, score 1 : 20
game 408, score 0 : 131, score 1 : 31
game 409, score 0 : 44, score 1 : 118
game 410, score 0 : 99, score 1 : 63
game 411, score 0 : 88, score 1 : 74
game 412, score 0 : 151, score 1 : 11
game 413, score 0 : 77, score 1 : 85
game 414, score 0 : 133, score 1 : 29
game 415, score 0 : 53, score 1 : 109
game 416, score 0 : 149, score 1 : 13
game 417, score 0 : 96, score 1 : 66
game 418, score 0 : 95, score 1 : 67
game 419, score 0 : 33, score 1 : 129
game 420, score 0 : 73, score 1 : 89
game 421, score 0 : 33, score 1 : 129
game 422, score 0 : 145, score 1 : 17
game 423, score 0 : 144, score 1 : 18
game 424, score 0 : 96, score 1 : 66
game 425, score 0 : 138, score 1 : 24
game 426, score 0 : 0, score 1 : 162
game 427, score 0 : 151, score 1 : 11
game 428, score 0 : 123, score 1 : 39
game 429, score 0 : 109, score 1 : 53
game 430, score 0 : 57, score 1 : 105
game 431, score 0 : 110, score 1 : 52
game 432, score 0 : 135, score 1 : 27
game 433, score 0 : 61, score 1 : 101
game 434, score 0 : 135, score 1 : 27
game 435, score 0 : 92, score 1 : 70
game 436, score 0 : 102, score 1 : 60
game 437, score 0 : 43, score 1 : 119
game 438, score 0 : 73, score 1 : 89
game 439, score 0 : 35, score 1 : 127
game 440, score 0 : 127, score 1 : 35
game 441, score 0 : 60, score 1 : 102
game 442, score 0 : 52, score 1 : 110
game 443, score 0 : 13, score 1 : 149
game 444, score 0 : 0, score 1 : 162
game 445, score 0 : 127, score 1 : 35
game 446, score 0 : 93, score 1 : 69
game 447, score 0 : 17, score 1 : 145
game 448, score 0 : 139, score 1 : 23
game 449, score 0 : 77, score 1 : 85
game 450, score 0 : 133, score 1 : 29
game 451, score 0 : 47, score 1 : 115
game 452, score 0 : 105, score 1 : 57
game 453, score 0 : 17, score 1 : 145
game 454, score 0 : 35, score 1 : 127
game 455, score 0 : 103, score 1 : 59
game 456, score 0 : 94, score 1 : 68
game 457, score 0 : 106, score 1 : 56
game 458, score 0 : 82, score 1 : 80
game 459, score 0 : 13, score 1 : 149
game 460, score 0 : 59, score 1 : 103
game 461, score 0 : 119, score 1 : 43
game 462, score 0 : 139, score 1 : 23
game 463, score 0 : 124, score 1 : 38
game 464, score 0 : 77, score 1 : 85
game 465, score 0 : 40, score 1 : 122
game 466, score 0 : 113, score 1 : 49
game 467, score 0 : 109, score 1 : 53
game 468, score 0 : 60, score 1 : 102
game 469, score 0 : 25, score 1 : 137
game 470, score 0 : 117, score 1 : 45
game 471, score 0 : 115, score 1 : 47
game 472, score 0 : 110, score 1 : 52
game 473, score 0 : 118, score 1 : 44
game 474, score 0 : 69, score 1 : 93
game 475, score 0 : 86, score 1 : 76
game 476, score 0 : 128, score 1 : 34
game 477, score 0 : 88, score 1 : 74
game 478, score 0 : 44, score 1 : 118
game 479, score 0 : 61, score 1 : 101
game 480, score 0 : 136, score 1 : 26
game 481, score 0 : 129, score 1 : 33
game 482, score 0 : 123, score 1 : 39
game 483, score 0 : 130, score 1 : 32
game 484, score 0 : 118, score 1 : 44
game 485, score 0 : 60, score 1 : 102
game 486, score 0 : 26, score 1 : 136
game 487, score 0 : 48, score 1 : 114
game 488, score 0 : 98, score 1 : 64
game 489, score 0 : 52, score 1 : 110
game 490, score 0 : 0, score 1 : 162
game 491, score 0 : 77, score 1 : 85
game 492, score 0 : 32, score 1 : 130
game 493, score 0 : 90, score 1 : 72
game 494, score 0 : 95, score 1 : 67
game 495, score 0 : 63, score 1 : 99
game 496, score 0 : 83, score 1 : 79
game 497, score 0 : 91, score 1 : 71
game 498, score 0 : 60, score 1 : 102
game 499, score 0 : 113, score 1 : 49
game 500, score 0 : 33, score 1 : 129
game 501, score 0 : 78, score 1 : 84
game 502, score 0 : 139, score 1 : 23
game 503, score 0 : 29, score 1 : 133
game 504, score 0 : 91, score 1 : 71
game 505, score 0 : 47, score 1 : 115
game 506, score 0 : 40, score 1 : 122
game 507, score 0 : 135, score 1 : 27
game 508, score 0 : 41, score 1 : 121
game 509, score 0 : 131, score 1 : 31
game 510, score 0 : 95, score 1 : 67
game 511, score 0 : 32, score 1 : 130
game 512, score 0 : 46, score 1 : 116
game 513, score 0 : 116, score 1 : 46
game 514, score 0 : 65, score 1 : 97
game 515, score 0 : 66, score 1 : 96
game 516, score 0 : 95, score 1 : 67
game 517, score 0 : 32, score 1 : 130
game 518, score 0 : 41, score 1 : 121
game 519, score 0 : 114, score 1 : 48
game 520, score 0 : 116, score 1 : 46
game 521, score 0 : 117, score 1 : 45
game 522, score 0 : 97, score 1 : 65
game 523, score 0 : 121, score 1 : 41
game 524, score 0 : 148, score 1 : 14
game 525, score 0 : 137, score 1 : 25
game 526, score 0 : 58, score 1 : 104
game 527, score 0 : 117, score 1 : 45
game 528, score 0 : 51, score 1 : 111
game 529, score 0 : 112, score 1 : 50
game 530, score 0 : 51, score 1 : 111
game 531, score 0 : 118, score 1 : 44
game 532, score 0 : 110, score 1 : 52
game 533, score 0 : 112, score 1 : 50
game 534, score 0 : 134, score 1 : 28
game 535, score 0 : 57, score 1 : 105
game 536, score 0 : 65, score 1 : 97
game 537, score 0 : 27, score 1 : 135
game 538, score 0 : 133, score 1 : 29
game 539, score 0 : 20, score 1 : 142
game 540, score 0 : 106, score 1 : 56
game 541, score 0 : 123, score 1 : 39
game 542, score 0 : 146, score 1 : 16
game 543, score 0 : 118, score 1 : 44
game 544, score 0 : 87, score 1 : 75
game 545, score 0 : 148, score 1 : 14
game 546, score 0 : 24, score 1 : 138
game 547, score 0 : 60, score 1 : 102
game 548, score 0 : 26, score 1 : 136
game 549, score 0 : 134, score 1 : 28
game 550, score 0 : 54, score 1 : 108
game 551, score 0 : 59, score 1 : 103
game 552, score 0 : 26, score 1 : 136
game 553, score 0 : 127, score 1 : 35
game 554, score 0 : 132, score 1 : 30
game 555, score 0 : 98, score 1 : 64
game 556, score 0 : 94, score 1 : 68
game 557, score 0 : 113, score 1 : 49
game 558, score 0 : 40, score 1 : 122
game 559, score 0 : 127, score 1 : 35
game 560, score 0 : 138, score 1 : 24
game 561, score 0 : 0, score 1 : 162
game 562, score 0 : 132, score 1 : 30
game 563, score 0 : 66, score 1 : 96
game 564, score 0 : 162, score 1 : 0
game 565, score 0 : 78, score 1 : 84
game 566, score 0 : 116, score 1 : 46
game 567, score 0 : 146, score 1 : 16
game 568, score 0 : 70, score 1 : 92
game 569, score 0 : 86, score 1 : 76
game 570, score 0 : 111, score 1 : 51
game 571, score 0 : 83, score 1 : 79
game 572, score 0 : 69, score 1 : 93
game 573, score 0 : 91, score 1 : 71
game 574, score 0 : 66, score 1 : 96
game 575, score 0 : 131, score 1 : 31
game 576, score 0 : 125, score 1 : 37
game 577, score 0 : 140, score 1 : 22
game 578, score 0 : 80, score 1 : 82
game 579, score 0 : 87, score 1 : 75
game 580, score 0 : 64, score 1 : 98
game 581, score 0 : 67, score 1 : 95
game 582, score 0 : 70, score 1 : 92
game 583, score 0 : 162, score 1 : 0
game 584, score 0 : 139, score 1 : 23
game 585, score 0 : 92, score 1 : 70
game 586, score 0 : 110, score 1 : 52
game 587, score 0 : 108, score 1 : 54
game 588, score 0 : 111, score 1 : 51
game 589, score 0 : 11, score 1 : 151
game 590, score 0 : 70, score 1 : 92
game 591, score 0 : 70, score 1 : 92
game 592, score 0 : 34, score 1 : 128
game 593, score 0 : 46, score 1 : 116
game 594, score 0 : 92, score 1 : 70
game 595, score 0 : 85, score 1 : 77
game 596, score 0 : 30, score 1 : 132
game 597, score 0 : 135, score 1 : 27
game 598, score 0 : 126, score 1 : 36
game 599, score 0 : 146, score 1 : 16
game 600, score 0 : 135, score 1 : 27
game 601, score 0 : 162, score 1 : 0
game 602, score 0 : 13, score 1 : 149
game 603, score 0 : 126, score 1 : 36
game 604, score 0 : 98, score 1 : 64
game 605, score 0 : 126, score 1 : 36
game 606, score 0 : 162, score 1 : 0
game 607, score 0 : 72, score 1 : 90
game 608, score 0 : 18, score 1 : 144
game 609, score 0 : 16, score 1 : 146
game 610, score 0 : 98, score 1 : 64
game 611, score 0 : 86, score 1 : 76
game 612, score 0 : 136, score 1 : 26
game 613, score 0 : 0, score 1 : 162
game 614, score 0 : 38, score 1 : 124
game 615, score 0 : 87, score 1 : 75
game 616, score 0 : 71, score 1 : 91
game 617, score 0 : 65, score 1 : 97
game 618, score 0 : 158, score 1 : 4
game 619, score 0 : 94, score 1 : 68
game 620, score 0 : 90, score 1 : 72
game 621, score 0 : 77, score 1 : 85
game 622, score 0 : 139, score 1 : 23
game 623, score 0 : 98, score 1 : 64
game 624, score 0 : 64, score 1 : 98
game 625, score 0 : 110, score 1 : 52
game 626, score 0 : 27, score 1 : 135
game 627, score 0 : 132, score 1 : 30
game 628, score 0 : 93, score 1 : 69
game 629, score 0 : 72, score 1 : 90
game 630, score 0 : 59, score 1 : 103
game 631, score 0 : 73, score 1 : 89
game 632, score 0 : 48, score 1 : 114
game 633, score 0 : 22, score 1 : 140
game 634, score 0 : 13, score 1 : 149
game 635, score 0 : 39, score 1 : 123
game 636, score 0 : 122, score 1 : 40
game 637, score 0 : 131, score 1 : 31
game 638, score 0 : 134, score 1 : 28
game 639, score 0 : 48, score 1 : 114
game 640, score 0 : 36, score 1 : 126
game 641, score 0 : 74, score 1 : 88
game 642, score 0 : 126, score 1 : 36
game 643, score 0 : 117, score 1 : 45
game 644, score 0 : 113, score 1 : 49
game 645, score 0 : 20, score 1 : 142
game 646, score 0 : 110, score 1 : 52
game 647, score 0 : 44, score 1 : 118
game 648, score 0 : 0, score 1 : 162
game 649, score 0 : 152, score 1 : 10
game 650, score 0 : 106, score 1 : 56
game 651, score 0 : 77, score 1 : 85
game 652, score 0 : 92, score 1 : 70
game 653, score 0 : 41, score 1 : 121
game 654, score 0 : 83, score 1 : 79
game 655, score 0 : 36, score 1 : 126
game 656, score 0 : 36, score 1 : 126
game 657, score 0 : 59, score 1 : 103
game 658, score 0 : 108, score 1 : 54
game 659, score 0 : 103, score 1 : 59
game 660, score 0 : 109, score 1 : 53
game 661, score 0 : 130, score 1 : 32
game 662, score 0 : 72, score 1 : 90
game 663, score 0 : 36, score 1 : 126
game 664, score 0 : 55, score 1 : 107
game 665, score 0 : 68, score 1 : 94
game 666, score 0 : 63, score 1 : 99
game 667, score 0 : 88, score 1 : 74
game 668, score 0 : 29, score 1 : 133
game 669, score 0 : 118, score 1 : 44
game 670, score 0 : 83, score 1 : 79
game 671, score 0 : 139, score 1 : 23
game 672, score 0 : 61, score 1 : 101
game 673, score 0 : 107, score 1 : 55
game 674, score 0 : 66, score 1 : 96
game 675, score 0 : 9, score 1 : 153
game 676, score 0 : 79, score 1 : 83
game 677, score 0 : 59, score 1 : 103
game 678, score 0 : 41, score 1 : 121
game 679, score 0 : 69, score 1 : 93
game 680, score 0 : 159, score 1 : 3
game 681, score 0 : 100, score 1 : 62
game 682, score 0 : 28, score 1 : 134
game 683, score 0 : 86, score 1 : 76
game 684, score 0 : 150, score 1 : 12
game 685, score 0 : 32, score 1 : 130
game 686, score 0 : 64, score 1 : 98
game 687, score 0 : 125, score 1 : 37
game 688, score 0 : 29, score 1 : 133
game 689, score 0 : 116, score 1 : 46
game 690, score 0 : 19, score 1 : 143
game 691, score 0 : 50, score 1 : 112
game 692, score 0 : 135, score 1 : 27
game 693, score 0 : 17, score 1 : 145
game 694, score 0 : 23, score 1 : 139
game 695, score 0 : 110, score 1 : 52
game 696, score 0 : 7, score 1 : 155
game 697, score 0 : 119, score 1 : 43
game 698, score 0 : 51, score 1 : 111
